,name,id,shortName,path,displayName,featureType,coordinates
902,ea Chipata District Hospital,DdmbNjda84Y,Chipata Dist Hosp,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/DdmbNjda84Y,ea Chipata District Hospital,POINT,"[32.5843,-13.6498]"
903,ea Chipata Health Care Private,kCtWkRwROsV,Chipata Health Care HC,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/kCtWkRwROsV,ea Chipata Health Care Private,NONE,
904,ea Chipata Hospital Affiliated Health Centre,NabH09CP3xz,Chipata HAHC,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/NabH09CP3xz,ea Chipata Hospital Affiliated Health Centre,POINT,"[32.6362,-13.6383]"
905,ea ChipataGH Fast Track,wcUKyPKeoWb,ea ChipataGH Fast Track,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/wcUKyPKeoWb,ea ChipataGH Fast Track,NONE,
906,ea ChipataGH Main OPD,q6SF9XGW1Kh,ea ChipataGH Main OPD,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/q6SF9XGW1Kh,ea ChipataGH Main OPD,NONE,
907,ea ChipataGH Premium Standards,ojNhl0hDKoy,ea ChipataGH Premium Standards,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/ojNhl0hDKoy,ea ChipataGH Premium Standards,NONE,
908,ea ChipataGH Psychiatry Ward,V1pzf7UmAZl,ea ChipataGH Psychiatry Ward,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/V1pzf7UmAZl,ea ChipataGH Psychiatry Ward,NONE,
909,ea ChipataGH Ward A,ZVROGERc4ZT,ea ChipataGH Ward A,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/ZVROGERc4ZT,ea ChipataGH Ward A,NONE,
910,ea ChipataGH Ward C,UL0ZfqHUdCy,ea ChipataGH Ward C,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/UL0ZfqHUdCy,ea ChipataGH Ward C,NONE,
911,ea ChipataGH Ward D,vKf4ygVN6Yj,ea ChipataGH Ward D,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/vKf4ygVN6Yj,ea ChipataGH Ward D,NONE,
912,ea ChipataGH Ward E,zYYS3M5PWdZ,ea ChipataGH Ward E,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/zYYS3M5PWdZ,ea ChipataGH Ward E,NONE,
913,ea ChipataGH Ward F,lUyajVloRz7,ea ChipataGH Ward F,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/lUyajVloRz7,ea ChipataGH Ward F,NONE,
914,ea ChipataGH Ward G,BXiwGbjbbhh,ea ChipataGH Ward G,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/s8ESdlaODHN/BXiwGbjbbhh,ea ChipataGH Ward G,NONE,
915,ea Chipembe Rural Health Centre,PQ50wi6hSHK,Chipembe RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/f2v64XQg4O6/PQ50wi6hSHK,ea Chipembe Rural Health Centre,POINT,"[31.01704,-14.50397]"
916,ea Chipembere Rural Health Centre,HgeAlXBEAep,ea Chipembere RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/HgeAlXBEAep,ea Chipembere Rural Health Centre,POINT,"[32.1429964,-13.351866]"
917,ea Chipungo Rural Health Centre,itXU6IHgwhT,Chipungo RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/itXU6IHgwhT,ea Chipungo Rural Health Centre,POINT,"[32.4856,-13.7569]"
918,ea Chipungu Rural Health Centre,hCDlkhoJ2Il,Chipungu RHC ea,/Ot1P2HjvtvL/J7PQPWAeRUk/MHol2AAQxSL/hCDlkhoJ2Il,ea Chipungu Rural Health Centre,POINT,"[31.271,-14.0742]"
919,ea Chisengu Health Post,fYI2iiTAJt9,Chisengu HP,/Ot1P2HjvtvL/J7PQPWAeRUk/eL16jL32aft/fYI2iiTAJt9,ea Chisengu Health Post,NONE,
920,ea Chisenjere Rural Health Centre,yvabiHY5b6a,Chisenjere RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/MHol2AAQxSL/yvabiHY5b6a,ea Chisenjere Rural Health Centre,POINT,"[31.3841,-14.4346]"
921,ea Chisonso Health Post,e012j3WAOuv,Chisonso HP,/Ot1P2HjvtvL/J7PQPWAeRUk/MHol2AAQxSL/e012j3WAOuv,ea Chisonso Health Post,NONE,
922,ea Chiswa Health Post,XPVfzAeXnbT,Chiswa HP,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/XPVfzAeXnbT,ea Chiswa Health Post,POINT,"[32.3049,-13.9157]"
923,ea Chitawe Rural Health Centre,usWPbACkihD,Chitawe RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/Gk1xAY3wm9w/usWPbACkihD,ea Chitawe Rural Health Centre,POINT,"[31.6562,-14.0255]"
924,ea Chitungulu Rural Health Centre,bAJw8AXmKuV,Chitungulu RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/W0eIujLu7A8/bAJw8AXmKuV,ea Chitungulu Rural Health Centre,POINT,"[32.2857,-12.4211]"
925,ea Chiwe Health Post,zGH9y8oT6uM,Chiwe HP,/Ot1P2HjvtvL/J7PQPWAeRUk/l7kwddqAUuV/zGH9y8oT6uM,ea Chiwe Health Post,NONE,
926,ea Chiwoko Rural Health Centre,RsPDXJwUbEb,Chiwoko RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/RsPDXJwUbEb,ea Chiwoko Rural Health Centre,NONE,
927,ea Chiwuyu Rural Health Centre,NeYHeEmig9q,Chiwuyu RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/Gk1xAY3wm9w/NeYHeEmig9q,ea Chiwuyu Rural Health Centre,NONE,
928,ea Chizenje Rural Health Centre,me8PlZmU991,Chizenje RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/me8PlZmU991,ea Chizenje Rural Health Centre,POINT,"[32.3046,-13.624]"
929,ea Dambe Health Post,ngAfWBvVA91,ea Dambe Health Post,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/ngAfWBvVA91,ea Dambe Health Post,NONE,"[32.8014,-13.6938]"
930,ea Dental_Clinic,wLneG5vBaup,ea Dental_Clinic,/Ot1P2HjvtvL/J7PQPWAeRUk/Y5Qs8ZnXPo7/xLI3OUpJ8N4/CjcwNiVArSI/wLneG5vBaup,ea Dental_Clinic,NONE,
931,ea Dwankhozi Rural Health Centre,xm3oOwmrI9F,Dwankhozi RHC,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/xm3oOwmrI9F,ea Dwankhozi Rural Health Centre,NONE,
932,ea Eastern Command Military Clinic,bAYRy7WZfJj,Eastern Command Mil Clinic,/Ot1P2HjvtvL/J7PQPWAeRUk/bPggpIUH2Bw/bAYRy7WZfJj,ea Eastern Command Military Clinic,NONE,
