area_id,map_level,map_name,map_id,map_source
ken_2_68,2,,PsjxYLsJSIp,DHIS2
ken_2_69,2,,jOVcLeZQSsS,DHIS2
ken_2_70,2,,SZapM1R0Kti,DHIS2
ken_2_71,2,,fNCuk4Lpsnh,DHIS2
ken_2_72,2,,EZraJgLdRLX,DHIS2
ken_2_73,2,,BE6HMtlHyl1,DHIS2
ken_2_74,2,,sjlSPeRgl7d,DHIS2
ken_2_75,2,,GshNTMZJ5r1,DHIS2
ken_2_76,2,,jrm0uyLXnC1,DHIS2
ken_2_77,2,,qyhVIMG2rUw,DHIS2
ken_2_78,2,,YXt5ETQPRlB,DHIS2
ken_2_79,2,,H5RvDZkoDJL,DHIS2
ken_2_80,2,,odOtfcaMg4p,DHIS2
ken_2_81,2,,cmWAJB5kCDW,DHIS2
ken_2_82,2,,d3hSQ3EtnPk,DHIS2
ken_2_83,2,,vbauk0RRq9N,DHIS2
ken_2_84,2,,TPfcUHno8oP,DHIS2
ken_2_85,2,,d0Gu8FrRM0Y,DHIS2
ken_2_86,2,,gPR82w2xgJZ,DHIS2
ken_2_87,2,,f3AcdRzgTwz,DHIS2
ken_2_88,2,,vMPhBuymSKt,DHIS2
ken_2_89,2,,MWqQbxWqACn,DHIS2
ken_2_90,2,,dr8gOvVAdiE,DHIS2
ken_2_91,2,,G9DoZvSdGLx,DHIS2
ken_2_92,2,,tyfDsdZ1h3R,DHIS2
ken_2_93,2,,IPOMRXiYjxr,DHIS2
ken_2_94,2,,JmE1qRVQD4F,DHIS2
ken_2_95,2,,wtuGWT7KjVm,DHIS2
ken_2_96,2,,VDlzh6w4LKv,DHIS2
ken_2_97,2,,OOF3UX4yOt7,DHIS2
ken_2_98,2,,wYsCfCAUWNB,DHIS2
ken_2_99,2,,ScLzA7tQxrH,DHIS2
ken_2_100,2,,fGr9rRvaovO,DHIS2
ken_2_101,2,,OvI6w06DhPJ,DHIS2
ken_2_102,2,,BzFBYZhF5fx,DHIS2
ken_2_103,2,,FBteTV1eqB6,DHIS2
ken_2_104,2,,J69iWev2zwu,DHIS2
ken_2_105,2,,iy93Mmi73Or,DHIS2
ken_2_106,2,,nHEr5EciFh0,DHIS2
ken_2_107,2,,wMv0s3U2nnG,DHIS2
ken_2_108,2,,nsfbHBS9tMT,DHIS2
ken_2_109,2,,ABuzigW8Lzw,DHIS2
ken_2_110,2,,PKeFksHlJkB,DHIS2
ken_2_111,2,,xhVi71INcFs,DHIS2
ken_2_112,2,,iRK9uABUTVZ,DHIS2
ken_2_113,2,,zQEuNRaPYgE,DHIS2
ken_2_114,2,,gLD3Q9fHpvy,DHIS2
ken_2_115,2,,HoRW5aISmiD,DHIS2
ken_2_116,2,,nKHlZyN0lt9,DHIS2
ken_2_117,2,,fFh3beH29fD,DHIS2
ken_2_118,2,,A6Sj8RumZ0m,DHIS2
ken_2_119,2,,YnIAWg1T4AY,DHIS2
ken_2_120,2,,EcRytSSIkUq,DHIS2
ken_2_121,2,,HEsM6W2ImQR,DHIS2
ken_2_122,2,,OZiGQn2R8kK,DHIS2
ken_2_123,2,,eyADpAXM834,DHIS2
ken_2_124,2,,zT8Zj5vNYCy,DHIS2
ken_2_125,2,,D2lsuEzZAJP,DHIS2
ken_2_126,2,,YZAZ1a9MIvX,DHIS2
ken_2_127,2,,j6fqt5TYqPZ,DHIS2
ken_2_128,2,,GXnD5lHeanK,DHIS2
ken_2_129,2,,dKHnvt7gleN,DHIS2
ken_2_130,2,,VtuwXD7O1O9,DHIS2
ken_2_131,2,,dd7jowvUO95,DHIS2
ken_2_132,2,,cxjRPbvhjzr,DHIS2
ken_2_133,2,,ZNXf7qiVh3t,DHIS2
ken_2_134,2,,SOEG546PqbA,DHIS2
ken_2_135,2,,kBQIjtWUBqj,DHIS2
ken_2_136,2,,fmNokBURXjM,DHIS2
ken_2_137,2,,jNzRdAwjaQ1,DHIS2
ken_2_138,2,,nCziQtZ49jj,DHIS2
ken_2_139,2,,cooDDG3Lh3A,DHIS2
ken_2_140,2,,aTGYlhEw2Xx,DHIS2
ken_2_141,2,,l46g2PZUjoh,DHIS2
ken_2_142,2,,sr8WEz03EnP,DHIS2
ken_2_143,2,,Lfxw0DfD4jN,DHIS2
ken_2_144,2,,cwnqFyTJIgX,DHIS2
ken_2_145,2,,ntRK47D5dYL,DHIS2
ken_2_146,2,,YqYSkwmOtiR,DHIS2
ken_2_147,2,,GpEIlwz3FvT,DHIS2
ken_2_148,2,,EhchjCHkhJ9,DHIS2
ken_2_149,2,,YT3tecc4atw,DHIS2
ken_2_150,2,,m9gdonbVXjZ,DHIS2
ken_2_151,2,,OZNRpww2TUK,DHIS2
ken_2_152,2,,hBU8B1KI12P,DHIS2
ken_2_153,2,,eZpy65ooW0m,DHIS2
ken_2_154,2,,zCCIu1Vi3Wh,DHIS2
ken_2_155,2,,pXbWrnFPpKb,DHIS2
ken_2_156,2,,uRl5fBkhpcE,DHIS2
ken_2_157,2,,JNvqpOnKfGR,DHIS2
ken_2_158,2,,RJyUfi5BQUm,DHIS2
ken_2_159,2,,pF6qPMIlHte,DHIS2
ken_2_160,2,,v5qbFUgfIoF,DHIS2
ken_2_161,2,,Yz1V5Cx8CO2,DHIS2
ken_2_162,2,,zd8rhYqGowE,DHIS2
ken_2_163,2,,iCey76HYgLP,DHIS2
ken_2_164,2,,U3lGZ71W9Te,DHIS2
