"area_id","dhis2_id","pepfar_id","map_level","map_name"
"NGA_3_056",,"HhCbsjlKoWA",2,"en Enugu South"
"NGA_3_057",,"H3vPz5cLc8w",2,"en Ezeagu"
"NGA_3_058",,"XSjMKY9mf7k",2,"en Igbo Etiti"
"NGA_3_059",,"ai7N2iAo0JE",2,"en Igbo Eze North"
"NGA_3_060",,"WSdmE5ogw0T",2,"en Igbo Eze South"
"NGA_3_061",,"WihGaIxuEIs",2,"en Isiuzo"
"NGA_3_062",,"fEruEcd3780",2,"en Nkanu East"
"NGA_3_063",,"PWOBEq85BOf",2,"en Nkanu West"
"NGA_3_064",,"ITdnyCiBvz7",2,"en Nsukka"
"NGA_3_065",,"xu2XtcwkKms",2,"en Oji River"
"NGA_3_066",,"Jw8aS21k2oW",2,"en Udenu"
"NGA_3_067",,"OY7K8rR5ukn",2,"en Udi"
"NGA_3_068",,"os29wbUTQz7",2,"en Uzo Uwani"
"NGA_3_069",,"QT7WqfzOT7X",2,"im Aboh Mbaise"
"NGA_3_070",,"EyHfmrBzsuk",2,"im Ahiazu Mbaise"
"NGA_3_071",,"Ymb6umwsISK",2,"im Ehime Mbano"
"NGA_3_072",,"dzjXm8e1cNs",2,"im Ezinihitte"
"NGA_3_073",,"CRvHqQVBlD6",2,"im Ideato North"
"NGA_3_074",,"laM7jR9mtfj",2,"im Ideato South"
"NGA_3_075",,"V7JZ4QSddM4",2,"im Ihitte Uboma"
"NGA_3_076",,"JVBsHZWT7pB",2,"im Ikeduru"
"NGA_3_077",,"W0Bnlz2CdRD",2,"im Isiala Mbano"
"NGA_3_078",,"ZzZelaZBCYJ",2,"im Isu"
"NGA_3_079",,"GEwjVcMYoao",2,"im Mbaitoli"
"NGA_3_080",,"vpCKW3gWNhV",2,"im Ngor Okpala"
"NGA_3_081",,"qNzCWtO8dMh",2,"im Njaba"
"NGA_3_082",,"iz3ehfkjBvm",2,"im Nkwerre"
"NGA_3_083",,"eUmxQeRPiBM",2,"im Nwangele"
"NGA_3_084",,"VTczXNlh45U",2,"im Obowo"
"NGA_3_085",,"fIJ193PGC3L",2,"im Oguta"
"NGA_3_086",,"k396XseVgOV",2,"im Ohaji Egbema"
"NGA_3_087",,"Hl9Yfii9vCN",2,"im Okigwe"
"NGA_3_088",,"uTRRg2zhU4D",2,"im Onuimo"
"NGA_3_089",,"MHK8b5HRHWg",2,"im Orlu"
"NGA_3_090",,"jU19ZJn6TI8",2,"im Orsu"
"NGA_3_091",,"FHkaaPwowJN",2,"im Oru East"
"NGA_3_092",,"GSZ1YWRPxPk",2,"im Oru West"
"NGA_3_093",,"mVuyipSx9aU",2,"im Owerri Municipal"
"NGA_3_094",,"FjiNyXde6Ae",2,"im Owerri North"
"NGA_3_095",,"lx2r0T1GnaQ",2,"im Owerri West"
"NGA_3_096",,"p7M264Wg1qB",2,"ad Demsa"
"NGA_3_097",,"dv4N89160b6",2,"ad Fufore"
"NGA_3_098",,"EorvxnuHvOc",2,"ad Ganye"
"NGA_3_099",,"g353MwNv1ST",2,"ad Girei"
"NGA_3_100",,"I0NB6gmLUsA",2,"ad Gombi"
"NGA_3_101",,"w4bclNyjW8p",2,"ad Guyuk"
"NGA_3_102",,"fpBVTbTedSf",2,"ad Hong"
"NGA_3_103",,"qrAb13XpOC2",2,"ad Jada"
"NGA_3_104",,"YrmqAeqD90Z",2,"ad Lamurde"
"NGA_3_105",,"wvoQtDWsFy9",2,"ad Madagali"
"NGA_3_106",,"GlcpSBFFUZF",2,"ad Maiha"
"NGA_3_107",,"PekU6CGZl4z",2,"ad Mayo-Belwa"
"NGA_3_108",,"DqggvhYh4iJ",2,"ad Michika"
"NGA_3_109",,"Lfi7NDdKEEs",2,"ad Mubi North"
"NGA_3_110",,"m6LBTfgy4N4",2,"ad Mubi South"
"NGA_3_111",,"Z0saBqitaCS",2,"ad Numan"
"NGA_3_112",,"LH0JbbkkKBP",2,"ad Shelleng"
"NGA_3_113",,"FlBE3mL1gu7",2,"ad Song"
"NGA_3_114",,"IlQNjQ4xhtJ",2,"ad Toungo"
"NGA_3_115",,"f8yDBoPVWu1",2,"ad Yola North"
"NGA_3_116",,"ygm0La5inNU",2,"ad Yola South"
"NGA_3_117",,"Ci3pNStApME",2,"ba Alkaleri"
"NGA_3_118",,"BzVMcmlV7bF",2,"ba Bauchi"
"NGA_3_119",,"S809bXXP7Fv",2,"ba Bogoro"
"NGA_3_120",,"x8OYFzpULVk",2,"ba Damban"
"NGA_3_121",,"YDeeZ5qc9GH",2,"ba Darazo"
"NGA_3_122",,"keN9s8FpxDq",2,"ba Dass"
"NGA_3_123",,"gRNPhXiBuz0",2,"ba Gamawa"
"NGA_3_124",,"WLCeQxnQcYa",2,"ba Ganjuwa"
"NGA_3_125",,"oxcaQN6VXDF",2,"ba Giade"
"NGA_3_126",,"UCkm3Xfi1pW",2,"ba Itas-Gadau"
"NGA_3_127",,"R44BnPDW4MP",2,"ba Jama'are"
"NGA_3_128",,"GP2BJihG1v6",2,"ba Katagum"
"NGA_3_129",,"YvQJTMAxBGq",2,"ba Kirfi"
"NGA_3_130",,"F5eeDhZQibe",2,"ba Misau"
"NGA_3_131",,"DSafrXaCblk",2,"ba Ningi"
"NGA_3_132",,"ATFOMtmPNUT",2,"ba Shira"
"NGA_3_133",,"axJ2Bz7NMBy",2,"ba Tafawa-Balewa"
"NGA_3_134",,"Rag21iTLDMN",2,"ba Toro"
"NGA_3_135",,"dIi3XUCSsXQ",2,"ba Warji"
"NGA_3_136",,"xq8JtKyFs3r",2,"ba Zaki"
"NGA_3_137",,"CUS7o0LhAty",2,"bo Abadam"
"NGA_3_138",,"B6B6G0suyIH",2,"bo Askira-Uba"
"NGA_3_139",,"cff8nY3Y9t6",2,"bo Bama"
"NGA_3_140",,"IoVUPBw3cBJ",2,"bo Bayo"
"NGA_3_141",,"nUCOl5r6nTX",2,"bo Biu"
"NGA_3_142",,"XgcKWaZe33a",2,"bo Chibok"
"NGA_3_143",,"DEPsFEGZ6jU",2,"bo Damboa"
"NGA_3_144",,"SqVuiOLlKb8",2,"bo Dikwa"
"NGA_3_145",,"Ssbz4SEc1IM",2,"bo Gubio"
"NGA_3_146",,"ZeCCooHQrB4",2,"bo Guzamala"
"NGA_3_147",,"MdJ6fZJNIWg",2,"bo Gwoza"
"NGA_3_148",,"JvtwguXEkD5",2,"bo Hawul"
"NGA_3_149",,"GeeiQ1SxW8a",2,"bo Jere"
"NGA_3_150",,"nvpWc1dxZ2a",2,"bo Kaga"
"NGA_3_151",,"vSNtNuibM9P",2,"bo Kala-Balge"
"NGA_3_152",,"h4dMPsRKUmh",2,"bo Konduga"
"NGA_3_153",,"iE5LhdbOoQI",2,"bo Kukawa"
"NGA_3_154",,"v9EkkU2JyKZ",2,"bo Kwaya Kusar"
"NGA_3_155",,"ynzQSRhyaHe",2,"bo Mafa"
"NGA_3_156",,"ZtstX7En5ot",2,"bo Magumeri"
"NGA_3_157",,"qhRYYAbgQVH",2,"bo Maiduguri"
"NGA_3_158",,"js4XVdXgkfq",2,"bo Marte"
"NGA_3_159",,"aBEaAM8Eabm",2,"bo Mobbar"
"NGA_3_160",,"I5QvelpUvDa",2,"bo Monguno"
"NGA_3_161",,"WQwHVPPsqW2",2,"bo Ngala"
"NGA_3_162",,"a76Ey6R5Ynz",2,"bo Nganzai"
"NGA_3_163",,"xJCynBk9mXI",2,"bo Shani"
"NGA_3_164",,"hQDiS6TSZdz",2,"go Akko"
"NGA_3_165",,"MMtwgHXDdXV",2,"go Balanga"
"NGA_3_166",,"NeOiTtsL5sa",2,"go Billiri"
"NGA_3_167",,"VQgRF8xzLJH",2,"go Dukku"
"NGA_3_168",,"ar43MQufI9v",2,"go Funakaye"
"NGA_3_169",,"kbvQ8m0PGSU",2,"go Gombe"
"NGA_3_170",,"VFdjWHMxQJ7",2,"go Kaltungo"
"NGA_3_171",,"ipw9D3TRP8p",2,"go Kwami"
"NGA_3_172",,"fgDvaz58q64",2,"go Nafada-Bajoga"
"NGA_3_173",,"gArfGStpgDM",2,"go Shongom"
"NGA_3_174",,"Dz65VTZfbUd",2,"go Yamaltu-Deba"
"NGA_3_175",,"H5GOeDtLBhH",2,"ta Ardo-kola"
"NGA_3_176",,"lXfgXUKqsUm",2,"ta Bali"
"NGA_3_177",,"aKSDHehzXnK",2,"ta Donga"
"NGA_3_178",,"nb8lDm5Kxwr",2,"ta Gashaka"
"NGA_3_179",,"rDwTrMp6vv2",2,"ta Gassol"
"NGA_3_180",,"F2Cl8Zfwmt8",2,"ta Ibi"
"NGA_3_181",,"SQwOj385pC9",2,"ta Jalingo"
"NGA_3_182",,"U2CLKBu9ujk",2,"ta Karin-Lamido"
"NGA_3_183",,"brUuT9VMVFK",2,"ta Kurmi"
"NGA_3_184",,"kLf49CxvV8q",2,"ta Lau"
"NGA_3_185",,"kK6VT8uaxyv",2,"ta Sardauna"
"NGA_3_186",,"RVH0MzfkLrW",2,"ta Takum"
"NGA_3_187",,"ItOKwnnX5uy",2,"ta Ussa"
"NGA_3_188",,"klGoPCX1HTv",2,"ta Wukari"
"NGA_3_189",,"sOXGqHbV8Ji",2,"ta Yorro"
"NGA_3_190",,"Sn2IQYMF2pQ",2,"ta Zing"
"NGA_3_191",,"FLrj0Vb8jh2",2,"yo Bade"
"NGA_3_192",,"yMpsqMmo7oI",2,"yo Bursari"
"NGA_3_193",,"fhHfL7tA9l8",2,"yo Damaturu"
"NGA_3_194",,"sUHLkFR6mEd",2,"yo Fika"
"NGA_3_195",,"p7SAVi1RX6S",2,"yo Fune"
"NGA_3_196",,"VdbX8KqjeJa",2,"yo Geidam"
"NGA_3_197",,"hMDFkMbJ3w6",2,"yo Gujba"
"NGA_3_198",,"zrM1BT9UvRe",2,"yo Gulani"
"NGA_3_199",,"VND5WSq5w5Z",2,"yo Jakusko"
"NGA_3_200",,"d8TsB5IWT3K",2,"yo Karasuwa"
"NGA_3_201",,"pEXfJwykmi5",2,"yo Machina"
