area_id,map_id,pepfar_id
TZA_3_73,WB7EAwS3F8N,wnQPiwXMA2b
TZA_3_74,lUB72k7eAQ3,cb3Vtga27yX
TZA_3_75,XL0luikY9oG,cRUzcZywrbr
TZA_3_76,TO89Eu9qoSX,d3v58XtPE9s
TZA_3_77,LbM25p7KBDP,ZuIC9W3V9Er
TZA_3_78,VdIZ0pAYfBK,RbzqqawWFey
TZA_3_79,r9NgS2Jsu9I,ecKRBvL4KOu
TZA_3_80,tcZz4Bh4mqc,SxuWL8y7s0h
TZA_3_81,vo788oc0NEn,uHbIOtn8uNS
TZA_3_82,xBWOfftpkLT,HeFt4nH6lFL
TZA_3_83,chzBato6xed,cdSO66LSlGQ
TZA_3_84,ppnbxB0TxjG,AaejvOngJzv
TZA_3_85,xVzeWrXHf81,WpCOOhK9N1f
TZA_3_86,L9scGbK6d61,nZR7jDoZaWp
TZA_3_87,dWfRpHKykpk,ZE2mVxYeq6K
TZA_3_88,AvfNRAIsvhg,olUCraJY2gF
TZA_3_89,e3ATlebHNrD,D3hgNLc7wl6
TZA_3_90,N5FKtARi6dB,tXYiT9KX7zA
TZA_3_91,dPzNEI2Cxqj,u6JIzCOdBJ6
TZA_3_92,dFCrIa5paz7,pcW8gGVrMpY
TZA_3_93,tNFOa31xGhu,StD9EAMpzvb
TZA_3_94,OwqGTochnjW,MlW0F1UMa9b
TZA_3_95,uHp3aLKA6Tn,PiaL7RCM0h7
TZA_3_96,Qyg5jjxGeQD,y5li2j7RLGP
TZA_3_97,RHLUbsrsFoE,aG6kXOW4ihG
TZA_3_98,V60DkMrlQ5Q,EbUvkxSPwEL
TZA_3_99,fogigwn9cW7,ggKkQlp4zmd
TZA_3_100,PEIzWSzWQ7S,OoFnoVhM8Tz
TZA_3_101,WAwWjYYzdkS,OaWlcFCzUIo
TZA_3_102,uvsgHtPzLSo,p12xvi2DKUD
TZA_3_103,mOqc3ajETpA,dWarT328SnD
TZA_3_104,Nc1C12TG69d,PFrXwIUcE6K
TZA_3_105,K8HUKJUZ7aj,GeWWmcEnaaE
TZA_3_106,m2ux1UEElNB,BG5sXQyiGAc
TZA_3_107,QeMjl7Ld0Vj,GfuwGLNMsLb
TZA_3_108,iEIdCVxSJct,UY251epEUpp
TZA_3_109,cb9rqgLXFeh,Y7wXLX31IJZ
TZA_3_110,cZMveFzVrXh,Q8uZHnQoB2J
TZA_3_111,yPCs2xE66we,WFAQjpgzs0C
TZA_3_112,T3A9X81ABG3,qczHUWeVisp
TZA_3_113,zfwo4rq1XC3,rw6jhJfCbOz
TZA_3_114,IfQ2Sjbfdme,NcKPF2NzcgG
TZA_3_115,duES2Gfgvpw,FuoMYXv1Nfz
TZA_3_116,lQOxGNRaklm,RltHtwb3yOs
TZA_3_117,dIiTyLaZAEb,G08ogemsYzp
TZA_3_118,dt0Q0NhyPty,QnjhG3pb3tT
TZA_3_119,AiyppObGUqI,yOhFCpn5sYb
TZA_3_120,kISvf8gGZMm,uWLJVNg0Cxm
TZA_3_121,vQvBfxn7Cjs,IEMuUwn38il
TZA_3_122,FylvwNXCTAQ,aW2XJGy2NZk
TZA_3_123,PF4defRibDi,NLaq6KMNwa4
TZA_3_124,WgQHWeMx6Zl,zU1Wnw8m86P
TZA_3_125,yz7jPBCDXlX,xOVDj8J5PoB
TZA_3_126,LoPF5WqswyW,imTE2HfVCB6
TZA_3_127,PM74xoecSpJ,PEaCSlDUGCg
TZA_3_128,YFPElmUhUok,JTG9SvBj4hZ
TZA_3_129,LdzOZ9hNTwH,j8AIF1TBisq
TZA_3_130,F8NIzb16wVU,xA6NDbxZAgx
TZA_3_131,wIjscdPZF3N,tLsMlLSRpfE
TZA_3_132,XLrownkhsKI,S2K7qj164i8
TZA_3_133,tq4bMQkHDbC,c678aETTSuk
TZA_3_134,et6lWc8GDHy,Knm8JL1QpjL
TZA_3_135,O8O3HQdJWHX,tdgT6aLYXaT
TZA_3_136,Kug5uWxs0mu,NKeKrs91xCw
TZA_3_137,jAI2fd8kK1z,NKUuUw1YV1f
TZA_3_138,f7UPzYMgzVH,RxbRsCG8uH4
TZA_3_139,IGSrsG5I54W,if4TkLUE35J
TZA_3_140,QE0OH5162nV,cHzpHbKk60d
TZA_3_141,ouZ5YpZ4T3a,hZ6LXLhUGaP
TZA_3_142,SoXc0vm0JrY,cWgzh9CCp1c
TZA_3_143,btLScg6XCBN,QAY9qFSQvjg
TZA_3_144,z4dfv9EOq3c,o8ekD6KEXWC
TZA_3_145,bKA4yc2NUxA,tWkfmVn0jNf
TZA_3_146,bRz3nu8rSWS,WS1OIDUdNtU
TZA_3_147,X5MzEu84hUN,RnRsrWIPfSN
TZA_3_148,NzVLQOcSJJU,gdCBbSRSOyW
TZA_3_149,Qp6ocX9ESSa,kFtnGYFsmaV
TZA_3_150,L5AfyN2zxns,KVGtSCr73bC
TZA_3_151,cnsiTXSJqqF,uBnSCpIMeNi
TZA_3_152,xRx7W86ElUH,AEQ2u8KCBcz
TZA_3_153,P1TuGaaZ981,RtqbS8T7AuT
TZA_3_154,C96DDKK03pu,KinswscyL7a
TZA_3_155,k4ijpiPRc3R,sahUcmhPrjs
TZA_3_156,A54bflEH57w,r8uGxJkbiEY
TZA_3_157,aa5sxEFiAwN,hjesZBs1haJ
TZA_3_158,cirtJ7KuNU0,vBmzQj5y81A
TZA_3_159,NzvekEmEzUG,lr2euf5GGdS
TZA_3_160,GOmwoDIGL98,zLJGUZcLjAt
TZA_3_161,QUTWca9YxNb,egae42w1g2E
TZA_3_162,m4ow47nd3DC,YLzPUD9clds
TZA_3_163,cjlkhW8VMDO,IAOBhhbqamN
TZA_3_164,aVLidCZ2RYk,fbNkC6ydQzQ
TZA_3_165,jupsOTyKi1W,sHTZH3Q9xlL
TZA_3_166,NCnwqVfx8j4,NJCxVOG0NKP
TZA_3_167,PKl52zU7vuH,Vu9fQlceypj
TZA_3_168,Q16E1rzDnVD,w0DfXCPj8Rl
TZA_3_169,Yb483pDzzWj,Jc7HCf9zv2h
TZA_3_170,I58Bh8dN2sO,QslVnqoK3PJ
TZA_3_171,bDteRg6tH0A,gIunYOqMCCw
TZA_3_172,mbXn83McbCh,l3rmPVjiR9e
TZA_3_173,vJY7WRfb5Hc,pXIAe9SMcS3
TZA_3_174,plSLZJGUHZb,d7jaGpSxsaJ
TZA_3_175,IZAkMaffRh8,xxx5e0BohYI
TZA_3_176,saOGTLvMX4F,bVUktvRBkSC
TZA_3_177,fSZfOuCkmAb,uvOa3vSlS16
TZA_3_178,RCDM6DotMZw,ocNRp1wzSHa
TZA_3_179,G9VxK1Dmkpc,BtMJFR0nUrB
TZA_3_180,wsCWwNbLJNY,F0StU7ndfp2
TZA_3_181,aouUIozrc7I,hczrU5bjocf
TZA_3_182,d07Wtk7brGz,dh6RCCSUrlk
TZA_3_183,YUUmbtHrmco,ccZi9PXZS2E
TZA_3_184,fqlNpTvqMw4,UL2PuGciZ0O
TZA_3_185,NA,Exl9pUAc44P
TZA_3_186,NA,JunQeiJ0pST
TZA_3_187,NA,s9zkPoKCkYn
TZA_3_188,NA,WwO4gfYWGaQ
TZA_3_189,NA,NA
TZA_3_190,NA,NA
TZA_3_191,NA,KOlqevxMjvo
TZA_3_192,NA,suZa3dTHksq
TZA_3_193,NA,CtMgY8VZogi
TZA_3_194,NA,Iy2ohDSmZYT
TZA_3_195,NA,vafMiWl7iKa
