area_id,map_level,map_name,map_id,map_source
TZA_3_58,2,Lindi District Council,sjKfO239rjD,DHIS2
TZA_3_59,2,Lindi Municipal Council,aiZstwpkrny,DHIS2
TZA_3_60,2,Liwale District Council,ZszYGa2Vnyc,DHIS2
TZA_3_61,2,Nachingwea District Council,W884lMlfpca,DHIS2
TZA_3_62,2,Ruangwa District Council,OOplITY83ud,DHIS2
TZA_3_63,2,Masasi District Council,rrHtwyYjprs,DHIS2
TZA_3_64,2,Masasi Town Council,tLzrq5IZ23W,DHIS2
TZA_3_65,2,Mtwara District Council,xOJxkz079Ek,DHIS2
TZA_3_66,2,Mtwara Municipal Council,PHGm198Hcil,DHIS2
TZA_3_67,2,Nanyamba Town Council,QRjyrYOr2vh,DHIS2
TZA_3_68,2,Nanyumbu District Council,PvqxGEssig9,DHIS2
TZA_3_69,2,Newala District Council,IYqT1Xik8Bj,DHIS2
TZA_3_70,2,Newala Town Council,tCJrHeEyDkg,DHIS2
TZA_3_71,2,Tandahimba District Council,gOcZSwBmijY,DHIS2
TZA_3_72,2,Madaba District Council,KEsG36c8lDx,DHIS2
TZA_3_73,2,Mbinga District Council,WB7EAwS3F8N,DHIS2
TZA_3_74,2,Mbinga Town Council,lUB72k7eAQ3,DHIS2
TZA_3_75,2,Namtumbo District Council,XL0luikY9oG,DHIS2
TZA_3_76,2,Nyasa District Council,TO89Eu9qoSX,DHIS2
TZA_3_77,2,Songea District Council,LbM25p7KBDP,DHIS2
TZA_3_78,2,Songea Municipal Council,VdIZ0pAYfBK,DHIS2
TZA_3_79,2,Tunduru District Council,r9NgS2Jsu9I,DHIS2
TZA_3_80,2,Iringa District Council,tcZz4Bh4mqc,DHIS2
TZA_3_81,2,Iringa Municipal Council,vo788oc0NEn,DHIS2
TZA_3_82,2,Kilolo District Council,xBWOfftpkLT,DHIS2
TZA_3_83,2,Mafinga Town Council,chzBato6xed,DHIS2
TZA_3_84,2,Mufindi District Council,ppnbxB0TxjG,DHIS2
TZA_3_85,2,Busokelo District Council,xVzeWrXHf81,DHIS2
TZA_3_86,2,Chunya District Council,L9scGbK6d61,DHIS2
TZA_3_87,2,Kyela District Council,dWfRpHKykpk,DHIS2
TZA_3_88,2,Mbarali District Council,AvfNRAIsvhg,DHIS2
TZA_3_89,2,Mbeya City Council,e3ATlebHNrD,DHIS2
TZA_3_90,2,Mbeya District Council,N5FKtARi6dB,DHIS2
TZA_3_91,2,Rungwe District Council,dPzNEI2Cxqj,DHIS2
TZA_3_92,2,Ikungi District Council,dFCrIa5paz7,DHIS2
TZA_3_93,2,Iramba District Council,tNFOa31xGhu,DHIS2
TZA_3_94,2,Itigi District Council,OwqGTochnjW,DHIS2
TZA_3_95,2,Manyoni District Council,uHp3aLKA6Tn,DHIS2
TZA_3_96,2,Mkalama District Council,Qyg5jjxGeQD,DHIS2
TZA_3_97,2,Singida District Council,RHLUbsrsFoE,DHIS2
TZA_3_98,2,Singida Municipal Council,V60DkMrlQ5Q,DHIS2
TZA_3_99,2,Igunga District Council,fogigwn9cW7,DHIS2
TZA_3_100,2,Kaliua District Council,PEIzWSzWQ7S,DHIS2
TZA_3_101,2,Nzega District Council,WAwWjYYzdkS,DHIS2
TZA_3_102,2,Nzega Town Council,uvsgHtPzLSo,DHIS2
TZA_3_103,2,Sikonge District Council,mOqc3ajETpA,DHIS2
TZA_3_104,2,Tabora Municipal Council,Nc1C12TG69d,DHIS2
TZA_3_105,2,Urambo District Council,K8HUKJUZ7aj,DHIS2
TZA_3_106,2,Uyui District Council,m2ux1UEElNB,DHIS2
