name,id,shortName,path,displayName,featureType,coordinates
"Aghaki Dispensary",rlq235aD72v,"Aghaki Dispensary","/m0frOspS7JY/sWOWPBvwNY2/ppnbxB0TxjG/rlq235aD72v","Aghaki Dispensary",NONE,
"AGM  Other Clinic",MH00Xo8X074,"AGM  Other Clinic","/m0frOspS7JY/acZHYslyJLt/HIOQoi1aeL8/MH00Xo8X074","AGM  Other Clinic",POINT,"[39.26955,-6.86391]"
"Ahmadiyya Dispensary",DOxG3PS0PlM,"Ahmadiyya Dispensary","/m0frOspS7JY/Sj50oz9EHvD/nUFAmN93pH4/DOxG3PS0PlM","Ahmadiyya Dispensary",POINT,"[37.6478,-6.78845]"
"Ahmadiyya Health Center",NYexlyJga4l,"Ahmadiyya Health Center","/m0frOspS7JY/Sj50oz9EHvD/nUFAmN93pH4/NYexlyJga4l","Ahmadiyya Health Center",POINT,"[37.66318,-6.82734]"
"Ahmes Sec. Dispensary",d4srXhdOn8J,"Ahmes Sec. Dispensary","/m0frOspS7JY/yyW17iCz9As/uPphu8kRXoZ/d4srXhdOn8J","Ahmes Sec. Dispensary",POINT,"[38.913493,-6.499635]"
"AICC  Hospital at District Level",SuoqM5pXPWG,"AICC  Hospital at District Level","/m0frOspS7JY/YtVMnut7Foe/lgZ6HfZaj3f/SuoqM5pXPWG","AICC  Hospital at District Level",POINT,"[36.69946,-3.37481]"
"AICT Bunda Dispensary",R9Kn038LSCG,"AICT Bunda Dispensary","/m0frOspS7JY/vYT08q7Wo33/SoXc0vm0JrY/R9Kn038LSCG","AICT Bunda Dispensary",POINT,"[33.872,-2.01881]"
"AICT Bweri Dispensary",FbhzLHYY5ay,"AICT Bweri Dispensary","/m0frOspS7JY/vYT08q7Wo33/bKA4yc2NUxA/FbhzLHYY5ay","AICT Bweri Dispensary",POINT,"[33.84328,-1.53519]"
"AICT Nyasho Dispensary",D5wM4LkSZkR,"AICT Nyasho Dispensary","/m0frOspS7JY/vYT08q7Wo33/bKA4yc2NUxA/D5wM4LkSZkR","AICT Nyasho Dispensary",POINT,"[33.802456,-1.512699]"
"Airport MICO Dispensary",BKFyi3bg1x7,"Airport MICO Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/BKFyi3bg1x7","Airport MICO Dispensary",POINT,"[39.192029,-6.867489]"
"Airport Police Dispensary",w8NecsOQp4C,"Airport Police Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/w8NecsOQp4C","Airport Police Dispensary",POINT,"[39.20314,-6.87122]"
"Airport Tanzania Dispensary",wHP40EURrEy,"Airport Tanzania Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/wHP40EURrEy","Airport Tanzania Dispensary",POINT,"[39.206299,-6.862977]"
"Airwing 603 ATS Dispensary",T9U9akcMNAN,"Airwing 603 ATS Dispensary","/m0frOspS7JY/acZHYslyJLt/xe93MrFXOYV/T9U9akcMNAN","Airwing 603 ATS Dispensary",POINT,"[39.19808,-6.868095]"
