name,id,shortName,path,displayName,geometry
"mv Gutu District",adRrJtX9vjF,"mv Gutu District","/uLFWBf4qXuv/nVljIjXbw6R/adRrJtX9vjF","mv Gutu District","POLYGON ((31.8662 -19.6912, 31.875 -19.7028, 31.8846 -19.7052, 31.8882 -19.7061, 31.8922 -19.7073, 31.8933 -19.7078, 31.8964 -19.709, 31.8979 -19.7104, 31.8999 -19.7132, 31.9012 -19.717, 31.9044 -19.722, 31.9191 -19.7548, 31.9266 -19.768, 31.9569 -19.7903, 31.9646 -19.7976, 31.967 -19.7988, 31.9685 -19.8013, 31.9694 -19.8034, 31.9699 -19.8075, 31.9704 -19.8114, 31.9715 -19.8214, 31.9679 -19.8214, 31.965 -19.8213, 31.9629 -19.8213, 31.9456 -19.8246, 31.9418 -19.825, 31.9384 -19.8253, 31.9358 -19.8257, 31.9329 -19.8259, 31.9297 -19.826, 31.9266 -19.8261, 31.924 -19.8267, 31.9211 -19.828, 31.9179 -19.8297, 31.9011 -19.8324, 31.8985 -19.8325, 31.8956 -19.8329, 31.8923 -19.8326, 31.8893 -19.831, 31.8871 -19.8304, 31.8825 -19.8308, 31.879 -19.8313, 31.876 -19.8317, 31.8725 -19.8324, 31.8695 -19.8331, 31.8665 -19.8335, 31.8643 -19.8336, 31.8554 -19.8374, 31.854 -19.8378, 31.8517 -19.8383, 31.8487 -19.8389, 31.8431 -19.8393, 31.8386 -19.8396, 31.8349 -19.8399, 31.8321 -19.8401, 31.8221 -19.8442, 31.8146 -19.8472, 31.8097 -19.8475, 31.8051 -19.8463, 31.8 -19.8429, 31.797 -19.8418, 31.7942 -19.8413, 31.7902 -19.8411, 31.7874 -19.8411, 31.7831 -19.8412, 31.7759 -19.842, 31.7736 -19.8421, 31.7707 -19.8422, 31.7651 -19.8413, 31.7597 -19.8408, 31.7529 -19.8388, 31.7502 -19.8384, 31.7481 -19.8379, 31.7464 -19.8381, 31.7428 -19.838, 31.7371 -19.8368, 31.7332 -19.836, 31.73 -19.8356, 31.7268 -19.8354, 31.7214 -19.8348, 31.719 -19.8361, 31.7165 -19.8361, 31.7142 -19.8358, 31.7119 -19.8351, 31.7091 -19.8346, 31.7056 -19.8349, 31.6976 -19.8337, 31.6942 -19.8329, 31.6915 -19.8326, 31.6897 -19.8328, 31.6883 -19.8346, 31.6876 -19.8368, 31.6855 -19.8391, 31.6835 -19.8414, 31.6804 -19.8459, 31.6779 -19.8463, 31.6755 -19.8454, 31.6731 -19.8458, 31.6716 -19.8482, 31.6688 -19.8474, 31.6668 -19.8509, 31.6668 -19.8546, 31.6646 -19.8563, 31.6626 -19.8593, 31.6602 -19.86, 31.6559 -19.8604, 31.655 -19.8599, 31.653 -19.8584, 31.6497 -19.8561, 31.6462 -19.8556, 31.6435 -19.8547, 31.6411 -19.853, 31.6383 -19.8515, 31.6333 -19.8473, 31.631 -19.8447, 31.6285 -19.8446, 31.6258 -19.8479, 31.6248 -19.8514, 31.6244 -19.8552, 31.6239 -19.8585, 31.622 -19.8638, 31.622 -19.8639, 31.619 -19.8656, 31.616 -19.8668, 31.6135 -19.8681, 31.6108 -19.8683, 31.6071 -19.869, 31.6049 -19.869, 31.6022 -19.8695, 31.5994 -19.8708, 31.5976 -19.8716, 31.5953 -19.872, 31.5924 -19.8726, 31.5862 -19.8736, 31.5841 -19.8738, 31.5813 -19.8756, 31.5805 -19.8782, 31.5796 -19.8805, 31.5751 -19.8824, 31.5726 -19.8828, 31.5704 -19.8834, 31.5673 -19.8842, 31.5636 -19.8849, 31.5601 -19.8854, 31.5547 -19.8867, 31.5523 -19.8858, 31.5493 -19.8815, 31.5479 -19.879, 31.546 -19.8757, 31.5435 -19.873, 31.5412 -19.8711, 31.534 -19.8734, 31.5304 -19.876, 31.5279 -19.8769, 31.5256 -19.8776, 31.5236 -19.8791, 31.5171 -19.8824, 31.5148 -19.8801, 31.5117 -19.8833, 31.5094 -19.8847, 31.5073 -19.8858, 31.5044 -19.8865, 31.5007 -19.8858, 31.4967 -19.886, 31.4948 -19.8844, 31.4813 -19.8995, 31.4813 -19.9057, 31.4723 -19.9021, 31.4642 -19.902, 31.4492 -19.9065, 31.4423 -19.9175, 31.4334 -19.914, 31.4295 -19.9225, 31.4139 -19.9283, 31.4 -19.9378, 31.3846 -19.938, 31.3746 -19.9338, 31.3725 -19.9332, 31.369 -19.9329, 31.3673 -19.932, 31.3592 -19.9244, 31.3538 -19.9269, 31.3492 -19.9298, 31.327 -19.9454, 31.308 -19.9588, 31.2993 -19.9495, 31.2515 -19.9645, 31.2402 -19.9677, 31.2283 -19.9709, 31.2181 -19.974, 31.2167 -19.9778, 31.2156 -19.9853, 31.2126 -19.989, 31.2126 -19.9935, 31.2079 -19.9968, 31.2078 -20.0015, 31.2073 -20.0038, 31.2041 -20.0082, 31.2044 -20.0114, 31.2012 -20.0233, 31.2017 -20.0269, 31.1948 -20.0328, 31.1809 -20.0233, 31.1772 -20.0203, 31.1606 -20.0083, 31.1575 -20.0061, 31.154 -20.0038, 31.1495 -20.0026, 31.1454 -20.0021, 31.1419 -20.0014, 31.1374 -20.0008, 31.1334 -20.0002, 31.1306 -19.9996, 31.1264 -19.9991, 31.1113 -19.9965, 31.0993 -19.9892, 31.0882 -19.9898, 31.0663 -19.9917, 31.0625 -19.9918, 31.0321 -19.9681, 31.0003 -19.9732, 30.9876 -19.9756, 30.9839 -19.9711, 30.987 -19.9669, 30.9856 -19.9566, 31.0271 -19.9332, 31.0251 -19.9224, 30.9685 -19.9317, 30.963 -19.9135, 30.9608 -19.9018, 30.9557 -19.878, 30.9572 -19.8554, 30.9508 -19.8483, 30.9521 -19.8159, 30.9616 -19.8011, 30.9712 -19.7732, 30.9945 -19.7585, 31.002 -19.7472, 30.9901 -19.7373, 30.984 -19.7164, 30.9806 -19.7036, 30.9798 -19.7009, 30.9769 -19.7, 30.9742 -19.6989, 30.9719 -19.6963, 30.968 -19.6946, 30.9656 -19.6943, 30.9637 -19.6911, 30.9619 -19.6893, 30.9619 -19.6892, 30.9617 -19.6891, 30.9597 -19.6867, 30.9526 -19.689, 30.9406 -19.6941, 30.9157 -19.7004, 30.9012 -19.704, 30.8877 -19.7077, 30.8529 -19.7151, 30.8494 -19.7142, 30.8448 -19.7126, 30.8228 -19.7044, 30.8213 -19.7171, 30.8163 -19.7251, 30.809 -19.7306, 30.808 -19.7378, 30.7998 -19.7441, 30.7993 -19.7538, 30.7961 -19.7874, 30.7708 -19.7654, 30.7749 -19.7969, 30.7817 -19.8195, 30.7565 -19.8251, 30.7485 -19.8191, 30.7405 -19.8143, 30.7343 -19.8053, 30.7372 -19.7964, 30.7341 -19.7934, 30.7463 -19.7834, 30.7497 -19.7655, 30.7552 -19.7584, 30.7601 -19.758, 30.7607 -19.7483, 30.7613 -19.7385, 30.7641 -19.7296, 30.7661 -19.7181, 30.7047 -19.7441, 30.6986 -19.73, 30.6991 -19.7228, 30.6961 -19.7181, 30.6967 -19.7035, 30.6964 -19.6911, 30.7055 -19.6866, 30.7054 -19.659, 30.7093 -19.6369, 30.6972 -19.6064, 30.6873 -19.5881, 30.6949 -19.5804, 30.6977 -19.569, 30.7032 -19.5653, 30.7127 -19.559, 30.7092 -19.5538, 30.7097 -19.5479, 30.7157 -19.5386, 30.7189 -19.5301, 30.7196 -19.5211, 30.7198 -19.5149, 30.7195 -19.5097, 30.7193 -19.5041, 30.7193 -19.5001, 30.7185 -19.484, 30.7182 -19.4747, 30.7182 -19.464, 30.7093 -19.4565, 30.7106 -19.4521, 30.7114 -19.4435, 30.7121 -19.4383, 30.714 -19.429, 30.7266 -19.4314, 30.738 -19.4337, 30.7534 -19.4374, 30.754 -19.4225, 30.76 -19.4145, 30.7557 -19.4067, 30.7583 -19.4026, 30.749 -19.4017, 30.6956 -19.3959, 30.6988 -19.3912, 30.8705 -19.2606, 30.8843 -19.2504, 30.8881 -19.2478, 30.8911 -19.2461, 30.8939 -19.2445, 30.9032 -19.2441, 30.9084 -19.2439, 30.9069 -19.2223, 30.8952 -19.2021, 30.8898 -19.1975, 30.8923 -19.192, 30.9214 -19.1923, 30.92 -19.1802, 30.9372 -19.1488, 30.9554 -19.1526, 30.9695 -19.1557, 30.9989 -19.1557, 30.9919 -19.1854, 30.9895 -19.1953, 30.9891 -19.225, 30.9998 -19.2482, 30.9959 -19.2541, 30.996 -19.2579, 30.9991 -19.2576, 31.0105 -19.2562, 31.014 -19.2562, 31.0821 -19.244, 31.085 -19.244, 31.0879 -19.2437, 31.1186 -19.2409, 31.1217 -19.2409, 31.1292 -19.2403, 31.133 -19.24, 31.1365 -19.2397, 31.1456 -19.2388, 31.1476 -19.2383, 31.1593 -19.2369, 31.1806 -19.2348, 31.188 -19.2339, 31.1886 -19.2338, 31.191 -19.2366, 31.1926 -19.2397, 31.1957 -19.2411, 31.1982 -19.2408, 31.2016 -19.2399, 31.2045 -19.2405, 31.2068 -19.2424, 31.2081 -19.2433, 31.2112 -19.2446, 31.2121 -19.2447, 31.2185 -19.2453, 31.2211 -19.2479, 31.2255 -19.2514, 31.2279 -19.2529, 31.2314 -19.2551, 31.2325 -19.2556, 31.2335 -19.2561, 31.2375 -19.2577, 31.2412 -19.2586, 31.2436 -19.2606, 31.2456 -19.2625, 31.2472 -19.2646, 31.2492 -19.2664, 31.251 -19.2678, 31.26 -19.2735, 31.2626 -19.2747, 31.2664 -19.2759, 31.2726 -19.2776, 31.2777 -19.2786, 31.28 -19.2796, 31.2827 -19.2804, 31.2841 -19.2815, 31.2874 -19.2849, 31.29 -19.2883, 31.2934 -19.2907, 31.2974 -19.2931, 31.3019 -19.2953, 31.3043 -19.2964, 31.3067 -19.2974, 31.3094 -19.2982, 31.3116 -19.3, 31.3149 -19.3056, 31.3164 -19.3076, 31.319 -19.3097, 31.3207 -19.3103, 31.3229 -19.3109, 31.325 -19.3115, 31.3275 -19.313, 31.3306 -19.315, 31.3329 -19.3165, 31.3357 -19.3178, 31.3392 -19.3197, 31.343 -19.3222, 31.3441 -19.3228, 31.3453 -19.3237, 31.3485 -19.3259, 31.3546 -19.33, 31.3568 -19.3329, 31.3589 -19.3351, 31.3621 -19.336, 31.3649 -19.3371, 31.3673 -19.3395, 31.3767 -19.3484, 31.3787 -19.35, 31.3815 -19.3517, 31.3836 -19.3545, 31.3854 -19.3563, 31.3873 -19.3583, 31.3896 -19.3607, 31.3918 -19.3631, 31.3944 -19.3664, 31.397 -19.3695, 31.4024 -19.3707, 31.4058 -19.3736, 31.4088 -19.3749, 31.4113 -19.3746, 31.4212 -19.3712, 31.4241 -19.3702, 31.4273 -19.3733, 31.4292 -19.3748, 31.4305 -19.3763, 31.4333 -19.3774, 31.4353 -19.3749, 31.4366 -19.3709, 31.4379 -19.3687, 31.4387 -19.3661, 31.4412 -19.3615, 31.4435 -19.3602, 31.4461 -19.3611, 31.448 -19.3623, 31.4486 -19.3629, 31.45 -19.3652, 31.4518 -19.3691, 31.4539 -19.3718, 31.4586 -19.3782, 31.4597 -19.38, 31.4613 -19.3811, 31.4649 -19.3805, 31.4676 -19.3785, 31.4705 -19.3768, 31.473 -19.3756, 31.4775 -19.3727, 31.4804 -19.3728, 31.4835 -19.3738, 31.4873 -19.3758, 31.4899 -19.3777, 31.4899 -19.38, 31.4913 -19.3845, 31.4941 -19.3856, 31.4969 -19.386, 31.4996 -19.3861, 31.5029 -19.3855, 31.5073 -19.3865, 31.5113 -19.3886, 31.5148 -19.3891, 31.5176 -19.3894, 31.5205 -19.3903, 31.524 -19.3925, 31.5262 -19.3946, 31.5259 -19.3994, 31.5254 -19.4026, 31.5252 -19.4044, 31.5256 -19.4071, 31.526 -19.4083, 31.5278 -19.4121, 31.5317 -19.4138, 31.5364 -19.4141, 31.5405 -19.4156, 31.5448 -19.4164, 31.5494 -19.4185, 31.55 -19.4193, 31.5531 -19.4244, 31.5598 -19.436, 31.5618 -19.4401, 31.5629 -19.4434, 31.5653 -19.4465, 31.5681 -19.4495, 31.5704 -19.4539, 31.573 -19.4568, 31.5757 -19.4569, 31.5806 -19.4548, 31.584 -19.4541, 31.5843 -19.4542, 31.5869 -19.456, 31.5906 -19.4551, 31.5914 -19.4545, 31.5938 -19.4509, 31.5996 -19.4502, 31.6032 -19.4491, 31.6079 -19.447, 31.6112 -19.4475, 31.6152 -19.4539, 31.618 -19.4593, 31.6201 -19.4619, 31.6206 -19.4624, 31.6258 -19.4624, 31.6296 -19.4613, 31.6323 -19.4607, 31.6361 -19.4589, 31.6408 -19.4581, 31.641 -19.4582, 31.6452 -19.4635, 31.6487 -19.4662, 31.6518 -19.4666, 31.6568 -19.466, 31.6596 -19.4651, 31.6607 -19.4647, 31.6635 -19.4631, 31.6675 -19.4614, 31.6746 -19.4619, 31.6758 -19.4632, 31.6768 -19.4646, 31.6776 -19.4682, 31.6767 -19.472, 31.6755 -19.4752, 31.6763 -19.4792, 31.6762 -19.4822, 31.6759 -19.4864, 31.6773 -19.4894, 31.6792 -19.494, 31.6787 -19.4982, 31.6807 -19.5031, 31.682 -19.5076, 31.6821 -19.508, 31.6822 -19.5113, 31.6822 -19.518, 31.6832 -19.5221, 31.6883 -19.523, 31.6911 -19.5231, 31.6953 -19.5234, 31.6996 -19.5236, 31.704 -19.5249, 31.7068 -19.5264, 31.7076 -19.5271, 31.7097 -19.5295, 31.7104 -19.5309, 31.7137 -19.5396, 31.7172 -19.5413, 31.721 -19.5415, 31.7237 -19.5415, 31.7269 -19.5432, 31.7283 -19.5461, 31.7293 -19.5494, 31.7336 -19.5614, 31.7346 -19.566, 31.7355 -19.5701, 31.7359 -19.5747, 31.7361 -19.5797, 31.7378 -19.5825, 31.7401 -19.5843, 31.747 -19.5852, 31.7488 -19.5854, 31.7511 -19.5854, 31.7525 -19.5853, 31.7549 -19.5858, 31.7589 -19.5836, 31.7618 -19.5833, 31.7629 -19.5831, 31.764 -19.5831, 31.7655 -19.5829, 31.7711 -19.5843, 31.7715 -19.5846, 31.773 -19.5868, 31.7753 -19.5901, 31.7788 -19.591, 31.7815 -19.5914, 31.7851 -19.5918, 31.7883 -19.5928, 31.791 -19.5945, 31.7911 -19.5981, 31.7927 -19.6016, 31.7952 -19.6049, 31.7983 -19.6058, 31.8008 -19.6064, 31.8038 -19.6081, 31.806 -19.6101, 31.8078 -19.6114, 31.8142 -19.6163, 31.8166 -19.6176, 31.8176 -19.618, 31.8207 -19.6187, 31.8238 -19.6192, 31.8257 -19.6207, 31.8261 -19.6236, 31.8267 -19.6263, 31.8275 -19.6295, 31.8252 -19.6416, 31.8245 -19.6449, 31.8238 -19.6481, 31.8233 -19.6521, 31.8234 -19.6547, 31.8234 -19.6548, 31.8262 -19.6561, 31.829 -19.6558, 31.8316 -19.6562, 31.8337 -19.6579, 31.8351 -19.6643, 31.8375 -19.6659, 31.8392 -19.6663, 31.8427 -19.6681, 31.8433 -19.6708, 31.843 -19.6739, 31.8425 -19.6764, 31.8441 -19.6788, 31.8465 -19.6805, 31.8484 -19.6815, 31.8519 -19.6823, 31.8554 -19.6829, 31.8582 -19.6843, 31.8662 -19.6912))"
"mv Gutu Mission Hospital",SmTWwxr4dsM,"Gutu Mission Hospital","/uLFWBf4qXuv/nVljIjXbw6R/adRrJtX9vjF/SmTWwxr4dsM","mv Gutu Mission Hospital","POINT (31.2181 -19.6568)"
"mv Gutu Population Health Clinic",n2rESObXoQJ,"Gutu Population Health Clinic","/uLFWBf4qXuv/nVljIjXbw6R/adRrJtX9vjF/n2rESObXoQJ","mv Gutu Population Health Clinic",
"mv Gutu Rural Hospital",CsrqsNpaRqk,"Gutu Rural Hospital","/uLFWBf4qXuv/nVljIjXbw6R/adRrJtX9vjF/CsrqsNpaRqk","mv Gutu Rural Hospital",
"mv Guwa Rural Health Centre",CgHpXtKGPab,"Guwa Rural Health Centre","/uLFWBf4qXuv/nVljIjXbw6R/O5dih53Gqoc/CgHpXtKGPab","mv Guwa Rural Health Centre","POINT (31.0548 -20.625)"
"mv Harava Rural Health Centre",QKyJjASGoVM,"Harava Rural Health Centre","/uLFWBf4qXuv/nVljIjXbw6R/ffwxgte6q3p/QKyJjASGoVM","mv Harava Rural Health Centre","POINT (31.2737 -20.4003)"
"mv Hippo Valley Private Hospital",xuwXHQW0lEx,"Hippo Valley Private Hospital","/uLFWBf4qXuv/nVljIjXbw6R/whpubIpYSTb/xuwXHQW0lEx","mv Hippo Valley Private Hospital","POINT (31.6511 -21.0735)"
"mv Hozvi Clinic",lnNATIfIe8J,"Hozvi Clinic","/uLFWBf4qXuv/nVljIjXbw6R/msJbRmjmVWY/lnNATIfIe8J","mv Hozvi Clinic","POINT (31.5373 -20.0517)"
"mv Jerera Satellite Clinic",tyF4ojI2pf0,"Jerera Satellite Clinic","/uLFWBf4qXuv/nVljIjXbw6R/ffwxgte6q3p/tyF4ojI2pf0","mv Jerera Satellite Clinic","POINT (31.4514 -20.4247)"
"mv Jichidza Council Clinic",aymM2tvX3J6,"Jichidza Council Clinic","/uLFWBf4qXuv/nVljIjXbw6R/ffwxgte6q3p/aymM2tvX3J6","mv Jichidza Council Clinic",
